Date,Market,BreakoutCount,VCPCount,TrendTemplateCount,TopRSTicker
2026-03-18,KR,0,6,9,000660.KS
2026-03-19,KR,0,0,8,042700.KS
2026-03-20,KR,0,4,9,042700.KS
2026-03-23,KR,0,0,7,042700.KS
2026-03-24,KR,0,0,8,042700.KS
2026-03-25,KR,0,0,9,042700.KS
2026-03-26,KR,0,0,8,042700.KS
2026-03-27,KR,0,0,9,042700.KS
2026-03-30,KR,0,1,7,086520.KQ
2026-03-31,KR,0,1,3,086520.KQ
2026-04-01,KR,0,1,7,086520.KQ
2026-04-02,KR,0,0,4,086520.KQ
2026-04-03,KR,0,1,6,086520.KQ
2026-04-06,KR,0,0,6,086520.KQ
2026-04-07,KR,0,1,6,086520.KQ
2026-04-08,KR,0,1,9,086520.KQ
2026-04-09,KR,0,1,9,042700.KS
2026-04-10,KR,0,1,8,086520.KQ
2026-04-13,KR,0,0,8,086520.KQ
2026-04-14,KR,0,0,8,086520.KQ
2026-04-15,KR,0,0,9,086520.KQ
2026-04-16,KR,1,3,9,086520.KQ
2026-04-17,KR,0,4,9,086520.KQ
2026-04-20,KR,1,3,10,086520.KQ
2026-04-21,KR,2,4,10,086520.KQ
2026-03-18,US,0,0,3,MU
2026-03-19,US,0,1,4,MU
2026-03-20,US,0,0,4,MU
2026-03-23,US,0,0,4,MU
2026-03-24,US,0,0,4,MU
2026-03-25,US,1,0,6,MU
2026-03-26,US,0,0,1,MU
2026-03-27,US,0,0,1,MU
2026-03-30,US,0,0,1,MU
2026-03-31,US,0,0,1,MU
2026-04-01,US,1,0,3,MU
2026-04-02,US,0,0,4,MU
2026-04-06,US,0,0,4,MU
2026-04-07,US,0,1,3,MU
2026-04-08,US,2,0,7,MU
2026-04-09,US,1,0,7,MU
2026-04-10,US,1,1,7,MU
2026-04-13,US,0,1,7,MU
2026-04-14,US,1,2,7,MU
2026-04-15,US,0,2,7,MU
2026-04-16,US,1,2,7,MU
2026-04-17,US,0,2,7,MU
2026-04-20,US,1,1,7,MU
2026-04-21,US,0,1,8,MU
